Course Name,Count
Linear Algebra,10
Mathematics for CS,2
Calculus I,8
Calculus II,7
Calculus III,6
Discrete Mathematics,5
Linear Regression,1
Logic,1
Mathematical Found. in ML and AI,1
Numerical Analysis,1
Fundamentals of Calculus,2
Ord. Diff. Eq. with Linear Algebra,2
Matrix Theory,1
