Course Name,Count
Programming in Python,13
Intro to Algorithms,1
Analysis of Algorithms,2
Machine Learning,6
Programming in C/C++,3
Data Structures,6
Computer Organization,1
Software Engineering,2
Data Management,3
Data Visualization,2
Object-Oriented Programming,4
Unix,1
Cloud Computing,1
Intro to Data Science,7
Networking,1
Databases,4
Data Mining,1
Foundations of CS,3
Ethical Issues in Computing,3
Functional Paradigm,1
